"COU","Country","CORP_TAX","Corporate income tax rate","TAR","Targeted","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2000","2000","PC","Percentage","0","units",,,30,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2001","2001","PC","Percentage","0","units",,,30,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2002","2002","PC","Percentage","0","units",,,18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2003","2003","PC","Percentage","0","units",,,18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2004","2004","PC","Percentage","0","units",,,18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2005","2005","PC","Percentage","0","units",,,18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2006","2006","PC","Percentage","0","units",,,18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2007","2007","PC","Percentage","0","units",,,18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2008","2008","PC","Percentage","0","units",,,15,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2009","2009","PC","Percentage","0","units",,,15,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2010","2010","PC","Percentage","0","units",,,18,,
"ISL","Iceland","CIT_RATE","Corporate income tax rate","N","N","2011","2011","PC","Percentage","0","units",,,20,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2000","2000","PC","Percentage","0","units",,,24,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2001","2001","PC","Percentage","0","units",,,20,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2002","2002","PC","Percentage","0","units",,,16,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2003","2003","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2004","2004","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2005","2005","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2006","2006","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2007","2007","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2008","2008","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2009","2009","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2010","2010","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2011","2011","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2012","2012","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2013","2013","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2014","2014","PC","Percentage","0","units",,,12.5,,
"IRL","Ireland","CIT_RATE","Corporate income tax rate","Y","Y","2015","2015","PC","Percentage","0","units",,,12.5,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2000","2000","PC","Percentage","0","units",,,37,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2001","2001","PC","Percentage","0","units",,,36,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2002","2002","PC","Percentage","0","units",,,36,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2003","2003","PC","Percentage","0","units",,,34,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2004","2004","PC","Percentage","0","units",,,33,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2005","2005","PC","Percentage","0","units",,,33,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2006","2006","PC","Percentage","0","units",,,33,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2007","2007","PC","Percentage","0","units",,,33,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2008","2008","PC","Percentage","0","units",,,27.5,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2009","2009","PC","Percentage","0","units",,,27.5,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2010","2010","PC","Percentage","0","units",,,27.5,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2011","2011","PC","Percentage","0","units",,,27.5,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2012","2012","PC","Percentage","0","units",,,27.5,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2013","2013","PC","Percentage","0","units",,,27.5,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2014","2014","PC","Percentage","0","units",,,27.5,,
"ITA","Italy","CIT_RATE","Corporate income tax rate","N","N","2015","2015","PC","Percentage","0","units",,,27.5,,
"JPN","Japan","CIT_RATE","Corporate income tax rate","Y","Y","2000","2000","PC","Percentage","0","units",,,30,,
"JPN","Japan","CIT_RATE","Corporate income tax rate","Y","Y","2001","2001","PC","Percentage","0","units",,,30,,
"JPN","Japan","CIT_RATE","Corporate income tax rate","Y","Y","2002","2002","PC","Percentage","0","units",,,30,,
"JPN","Japan","CIT_RATE","Corporate income tax rate","Y","Y","2003","2003","PC","Percentage","0","units",,,30,,
"JPN","Japan","CIT_RATE","Corporate income tax rate","Y","Y","2004","2004","PC","Percentage","0","units",,,30,,
"JPN","Japan","CIT_RATE","Corporate income tax rate","Y","Y","2005","2005","PC","Percentage","0","units",,,30,,
"JPN","Japan","CIT_RATE","Corporate income tax rate","Y","Y","2006","2006","PC","Percentage","0","units",,,30,,
"JPN","Japan","CIT_RATE","Corporate income tax rate","Y","Y","2007","2007","PC","Percentage","0","units",,,30,,
"JPN","Japan","CIT_RATE","Corporate income tax rate","Y","Y","2008","2008","PC","Percentage","0","units",,,30,,
